Statement,Truth,Share,Statement_FR,Truth_FR
The number of natural disasters is increasing due to climate change,Definitely true,43%,Le nombre de catastrophes naturelles augmente en raison du changement climatique,Certainement vrai
There is a group of people in Canada who are trying to replace native born Canadians with immigrants who agree with their political views,Definitely true,10%,Il existe un groupe de personnes au Canada qui essaient de remplacer les Canadiens de naissance par des immigrants qui partagent leurs opinions politiques,Certainement vrai
Climate change is a natural phenomenon not caused by human activities,Definitely true,7%,Le changement climatique est un phénomène naturel qui n’est pas causé par les activités humaines,Certainement vrai
The 15-minute city is designed to track and limit the movement of Canadians to their immediate neighbourhood,Definitely true,7%,La ville de 15 minutes est conçue pour suivre et limiter les mouvements des Canadiens à leur voisinage immédiat,Certainement vrai
A man's dating success is determined entirely by his physical attractiveness and so is determined at birth,Definitely true,2%,Le succès d’un homme dans ses relations amoureuses est entièrement déterminé par son attrait physique et est donc déterminé à la naissance,Certainement vrai
Bill Gates used the COVID-19 pandemic to push a vaccine with a microchip capable of tracking people,Definitely true,3%,Bill Gates a utilisé la pandémie de COVID-19 pour faire approuver un vaccin avec une micropuce capable de suivre les gens à la trace,Certainement vrai
"Ukrainian nationalism is a neo-Nazi movement, so Russia invaded Ukraine to protect people",Definitely true,3%,"Le nationalisme ukrainien est un mouvement néonazi, donc la Russie a envahi l’Ukraine pour protéger les gens",Certainement vrai
The Holocaust has been exaggerated,Definitely true,2%,L’Holocauste a été exagéré,Certainement vrai
The number of natural disasters is increasing due to climate change,Somewhat true,35%,Le nombre de catastrophes naturelles augmente en raison du changement climatique,Plutôt vrai
There is a group of people in Canada who are trying to replace native born Canadians with immigrants who agree with their political views,Somewhat true,16%,Il existe un groupe de personnes au Canada qui essaient de remplacer les Canadiens de naissance par des immigrants qui partagent leurs opinions politiques,Plutôt vrai
Climate change is a natural phenomenon not caused by human activities,Somewhat true,16%,Le changement climatique est un phénomène naturel qui n’est pas causé par les activités humaines,Plutôt vrai
The 15-minute city is designed to track and limit the movement of Canadians to their immediate neighbourhood,Somewhat true,13%,La ville de 15 minutes est conçue pour suivre et limiter les mouvements des Canadiens à leur voisinage immédiat,Plutôt vrai
A man's dating success is determined entirely by his physical attractiveness and so is determined at birth,Somewhat true,14%,Le succès d’un homme dans ses relations amoureuses est entièrement déterminé par son attrait physique et est donc déterminé à la naissance,Plutôt vrai
Bill Gates used the COVID-19 pandemic to push a vaccine with a microchip capable of tracking people,Somewhat true,6%,Bill Gates a utilisé la pandémie de COVID-19 pour faire approuver un vaccin avec une micropuce capable de suivre les gens à la trace,Plutôt vrai
"Ukrainian nationalism is a neo-Nazi movement, so Russia invaded Ukraine to protect people",Somewhat true,5%,"Le nationalisme ukrainien est un mouvement néonazi, donc la Russie a envahi l’Ukraine pour protéger les gens",Plutôt vrai
The Holocaust has been exaggerated,Somewhat true,5%,L’Holocauste a été exagéré,Plutôt vrai
